time,RIV01,RIV02,RIV03,RIV04,RIV05,RIV06,RIV07,RIV08,RIV09,RIV10,RIV11,RIV12,RIV13
1216.400000000,-0.18660E+06,-0.82734E+07,-0.40326E+07,-0.21464E+07,-0.21306E+06,-0.12282E+08,-0.60989E+07,-0.57335E+07,-0.22688E+07,-0.30233E+07,-0.60269E+07,-0.44383E+07,-0.17781E+08
1246.400000000,-81033.,-0.77534E+07,-0.10845E+07,0.46570E+07,-0.95368E+06,-0.12504E+08,-0.60854E+07,-0.88374E+07,-0.24426E+07,-0.30949E+07,-0.60166E+07,-0.44447E+07,-0.17762E+08
1277.400000000,-0.10515E+07,-0.93024E+07,-0.62984E+07,-0.80850E+07,-0.27303E+07,-0.14610E+08,-0.70964E+07,-0.14270E+08,-0.34142E+07,-0.32124E+07,-0.60147E+07,-0.44321E+07,-0.17740E+08
1307.400000000,-0.13344E+07,-0.10300E+08,-0.79845E+07,-0.13027E+08,-0.33294E+07,-0.16465E+08,-0.81455E+07,-0.15631E+08,-0.34922E+07,-0.32483E+07,-0.60160E+07,-0.44244E+07,-0.17706E+08
1338.400000000,-0.12801E+07,-0.10940E+08,-0.80255E+07,-0.14516E+08,-0.37532E+07,-0.18246E+08,-0.91882E+07,-0.16087E+08,-0.36299E+07,-0.34751E+07,-0.60312E+07,-0.43500E+07,-0.17682E+08
1369.400000000,-0.10933E+07,-0.11779E+08,-0.80838E+07,-0.15419E+08,-0.34567E+07,-0.18890E+08,-0.95003E+07,-0.15694E+08,-0.38107E+07,-0.35825E+07,-0.60445E+07,-0.43269E+07,-0.17680E+08
1399.400000000,-0.97111E+06,-0.12216E+08,-0.80590E+07,-0.12836E+08,-0.30815E+07,-0.19137E+08,-0.95455E+07,-0.13943E+08,-0.35087E+07,-0.33076E+07,-0.60449E+07,-0.43459E+07,-0.17685E+08
1430.400000000,-0.62169E+06,-0.11487E+08,-0.68365E+07,-0.78095E+07,-0.19860E+07,-0.18072E+08,-0.89716E+07,-0.98494E+07,-0.25550E+07,-0.29064E+07,-0.60237E+07,-0.43715E+07,-0.17633E+08
1460.400000000,-0.37982E+06,-0.10591E+08,-0.56756E+07,-0.36961E+07,-0.11506E+07,-0.16531E+08,-0.82301E+07,-0.71016E+07,-0.24021E+07,-0.29666E+07,-0.60120E+07,-0.43649E+07,-0.17676E+08
1491.400000000,-0.30349E+06,-0.97914E+07,-0.49241E+07,-0.19837E+07,-0.94080E+06,-0.15293E+08,-0.77003E+07,-0.64788E+07,-0.23728E+07,-0.29858E+07,-0.60012E+07,-0.43990E+07,-0.17719E+08
1522.400000000,-0.25802E+06,-0.91214E+07,-0.45943E+07,-0.20758E+07,-0.76995E+06,-0.14222E+08,-0.71969E+07,-0.61454E+07,-0.23466E+07,-0.29899E+07,-0.59900E+07,-0.44214E+07,-0.17742E+08
1550.400000000,-0.22576E+06,-0.86015E+07,-0.44405E+07,-0.20836E+07,-0.70931E+06,-0.13582E+08,-0.69063E+07,-0.59390E+07,-0.23224E+07,-0.29873E+07,-0.59793E+07,-0.44308E+07,-0.17753E+08
1581.400000000,-0.28760E+06,-0.81935E+07,-0.44206E+07,-0.20148E+07,-0.56377E+06,-0.12910E+08,-0.66218E+07,-0.58209E+07,-0.23627E+07,-0.29848E+07,-0.59668E+07,-0.44336E+07,-0.17758E+08
1611.400000000,-0.68664E+06,-0.88238E+07,-0.54881E+07,-0.45082E+07,-0.19226E+07,-0.13990E+08,-0.69748E+07,-0.10350E+08,-0.32789E+07,-0.33164E+07,-0.59700E+07,-0.44835E+07,-0.17781E+08
1642.400000000,-0.81499E+06,-0.99590E+07,-0.76395E+07,-0.10307E+08,-0.27307E+07,-0.15656E+08,-0.77440E+07,-0.12280E+08,-0.35754E+07,-0.32322E+07,-0.59650E+07,-0.44652E+07,-0.17734E+08
1672.400000000,-0.11014E+07,-0.10859E+08,-0.78308E+07,-0.11670E+08,-0.28566E+07,-0.16350E+08,-0.80582E+07,-0.13175E+08,-0.34977E+07,-0.29385E+07,-0.59455E+07,-0.43999E+07,-0.17572E+08
1703.400000000,-0.11801E+07,-0.11663E+08,-0.80176E+07,-0.12878E+08,-0.36175E+07,-0.18251E+08,-0.91799E+07,-0.14512E+08,-0.36196E+07,-0.30883E+07,-0.59433E+07,-0.43548E+07,-0.17587E+08
1734.400000000,-0.10265E+07,-0.12281E+08,-0.81448E+07,-0.14086E+08,-0.32490E+07,-0.18574E+08,-0.93478E+07,-0.14080E+08,-0.36671E+07,-0.31718E+07,-0.59441E+07,-0.43360E+07,-0.17613E+08
1764.400000000,-0.89223E+06,-0.12468E+08,-0.78895E+07,-0.11591E+08,-0.28332E+07,-0.18414E+08,-0.92026E+07,-0.12539E+08,-0.33304E+07,-0.29796E+07,-0.59353E+07,-0.42932E+07,-0.17573E+08
1795.400000000,-0.54155E+06,-0.11814E+08,-0.68667E+07,-0.63687E+07,-0.19471E+07,-0.17321E+08,-0.86198E+07,-0.94750E+07,-0.27158E+07,-0.27359E+07,-0.59143E+07,-0.42918E+07,-0.17523E+08
1825.400000000,-0.32746E+06,-0.10833E+08,-0.55967E+07,-0.28857E+07,-0.11084E+07,-0.15889E+08,-0.79489E+07,-0.68813E+07,-0.24033E+07,-0.28320E+07,-0.59044E+07,-0.43211E+07,-0.17599E+08
1856.400000000,-0.27211E+06,-0.99946E+07,-0.49432E+07,-0.21759E+07,-0.91629E+06,-0.14833E+08,-0.74691E+07,-0.63073E+07,-0.23408E+07,-0.28657E+07,-0.58956E+07,-0.43682E+07,-0.17657E+08
1887.400000000,-0.27545E+06,-0.93017E+07,-0.46081E+07,-0.21196E+07,-0.64192E+06,-0.13622E+08,-0.68373E+07,-0.59995E+07,-0.23213E+07,-0.28786E+07,-0.58864E+07,-0.43961E+07,-0.17688E+08
1915.400000000,-0.20061E+06,-0.87426E+07,-0.44990E+07,-0.18777E+07,-0.66237E+06,-0.13030E+08,-0.65962E+07,-0.58316E+07,-0.22729E+07,-0.28819E+07,-0.58773E+07,-0.44080E+07,-0.17702E+08
1946.400000000,-0.23169E+06,-0.82361E+07,-0.43310E+07,-0.21589E+07,-0.64784E+06,-0.12532E+08,-0.63676E+07,-0.56899E+07,-0.22736E+07,-0.28805E+07,-0.58664E+07,-0.44109E+07,-0.17709E+08
1976.400000000,-0.57648E+06,-0.86357E+07,-0.47866E+07,-0.10017E+07,-0.18364E+07,-0.13548E+08,-0.67661E+07,-0.93300E+07,-0.29673E+07,-0.29309E+07,-0.58561E+07,-0.44348E+07,-0.17709E+08
2007.400000000,-0.83219E+06,-0.98650E+07,-0.74895E+07,-0.70872E+07,-0.25475E+07,-0.14704E+08,-0.71853E+07,-0.11814E+08,-0.35019E+07,-0.29581E+07,-0.58501E+07,-0.44452E+07,-0.17663E+08
2037.400000000,-0.10849E+07,-0.10900E+08,-0.75857E+07,-0.10613E+08,-0.32428E+07,-0.16082E+08,-0.78293E+07,-0.13474E+08,-0.36312E+07,-0.29361E+07,-0.58448E+07,-0.44105E+07,-0.17590E+08
2068.400000000,-0.11953E+07,-0.11430E+08,-0.70524E+07,-0.12362E+08,-0.31168E+07,-0.16990E+08,-0.83966E+07,-0.13547E+08,-0.34473E+07,-0.28324E+07,-0.58330E+07,-0.43187E+07,-0.17504E+08
2099.400000000,-0.11629E+07,-0.11939E+08,-0.67521E+07,-0.12934E+08,-0.30291E+07,-0.17778E+08,-0.89182E+07,-0.12600E+08,-0.33477E+07,-0.27030E+07,-0.58187E+07,-0.42582E+07,-0.17469E+08
2129.400000000,-0.10169E+07,-0.12299E+08,-0.65509E+07,-0.10961E+08,-0.24965E+07,-0.17452E+08,-0.88121E+07,-0.11229E+08,-0.33075E+07,-0.27821E+07,-0.58145E+07,-0.42726E+07,-0.17490E+08
2160.400000000,-0.85608E+06,-0.12242E+08,-0.59883E+07,-0.54356E+07,-0.19142E+07,-0.16682E+08,-0.83554E+07,-0.94423E+07,-0.28909E+07,-0.25762E+07,-0.57963E+07,-0.42606E+07,-0.17465E+08
2190.400000000,-0.41519E+06,-0.11182E+08,-0.51318E+07,-0.29717E+07,-0.94592E+06,-0.15294E+08,-0.76168E+07,-0.67301E+07,-0.23147E+07,-0.26875E+07,-0.57883E+07,-0.42829E+07,-0.17544E+08
