time,NYRIV
4503.400000000,29007.
4533.400000000,29007.
4564.400000000,29007.
4594.400000000,29007.
4625.400000000,29007.
4656.400000000,29007.
4686.400000000,29007.
4717.400000000,29007.
4747.400000000,0.0000
4778.400000000,0.0000
4809.400000000,0.0000
4837.400000000,29007.
4868.400000000,29007.
4898.400000000,29007.
4929.400000000,29007.
4959.400000000,29007.
4990.400000000,29007.
5021.400000000,29007.
5051.400000000,29007.
5082.400000000,29007.
5112.400000000,0.0000
5143.400000000,0.0000
5174.400000000,0.0000
5203.400000000,0.0000
5234.400000000,29007.
5264.400000000,29007.
5295.400000000,29007.
5325.400000000,29007.
5356.400000000,29007.
5387.400000000,29007.
5417.400000000,29007.
5448.400000000,29007.
5478.400000000,0.0000
5509.400000000,0.0000
5540.400000000,0.0000
5568.400000000,0.0000
5599.400000000,0.0000
5629.400000000,29007.
5660.400000000,29007.
5690.400000000,29007.
5721.400000000,29007.
5752.400000000,29007.
5782.400000000,29007.
5813.400000000,0.0000
5843.400000000,0.0000
5874.400000000,0.0000
5905.400000000,0.0000
5933.400000000,29007.
5964.400000000,29007.
5994.400000000,29007.
6025.400000000,29007.
6055.400000000,29007.
6086.400000000,29007.
6117.400000000,29007.
6147.400000000,29007.
6178.400000000,29007.
6208.400000000,0.0000
6239.400000000,0.0000
6270.400000000,0.0000
6298.400000000,29007.
6329.400000000,29007.
6359.400000000,29007.
6390.400000000,29007.
6420.400000000,29007.
6451.400000000,29007.
6482.400000000,29007.
6512.400000000,29007.
6543.400000000,29007.
6573.400000000,0.0000
6604.400000000,0.0000
6635.400000000,29007.
6664.400000000,29007.
6695.400000000,0.0000
6725.400000000,29007.
6756.400000000,29007.
6786.400000000,29007.
6817.400000000,29007.
6848.400000000,29007.
6878.400000000,29007.
6909.400000000,29007.
6939.400000000,0.0000
6970.400000000,0.0000
7001.400000000,0.0000
7029.400000000,0.0000
7060.400000000,0.0000
7090.400000000,29007.
7121.400000000,29007.
7151.400000000,29007.
7182.400000000,29007.
7213.400000000,29007.
7243.400000000,29007.
7274.400000000,29007.
7304.400000000,0.0000
7335.400000000,0.0000
7366.400000000,0.0000
7394.400000000,0.0000
7425.400000000,29007.
7455.400000000,29007.
7486.400000000,29007.
7516.400000000,29007.
7547.400000000,29007.
7578.400000000,29007.
7608.400000000,29007.
7639.400000000,29007.
7669.400000000,29007.
7700.400000000,0.0000
7731.400000000,0.0000
7759.400000000,0.0000
7790.400000000,0.0000
7820.400000000,29007.
7851.400000000,29007.
7881.400000000,29007.
7912.400000000,29007.
7943.400000000,29007.
7973.400000000,29007.
8004.400000000,29007.
8034.400000000,0.0000
8065.400000000,0.0000
8096.400000000,0.0000
8125.400000000,0.0000
8156.400000000,0.0000
8186.400000000,29007.
8217.400000000,29007.
8247.400000000,29007.
8278.400000000,29007.
8309.400000000,29007.
8339.400000000,29007.
8370.400000000,29007.
8400.400000000,0.0000
8431.400000000,0.0000
8462.400000000,0.0000
8490.400000000,0.0000
8521.400000000,29007.
8551.400000000,29007.
8582.400000000,29007.
8612.400000000,29007.
8643.400000000,29007.
8674.400000000,29007.
8704.400000000,29007.
8735.400000000,29007.
8765.400000000,29007.
8796.400000000,29007.
8827.400000000,29007.
8855.400000000,29007.
8886.400000000,29007.
8916.400000000,29007.
8947.400000000,29007.
8977.400000000,29007.
9008.400000000,29007.
9039.400000000,29007.
9069.400000000,29007.
9100.400000000,29007.
9130.400000000,29007.
9161.400000000,0.0000
9192.400000000,0.0000
9220.400000000,0.0000
9251.400000000,0.0000
9281.400000000,29007.
9312.400000000,29007.
9342.400000000,29007.
9373.400000000,29007.
9404.400000000,29007.
9434.400000000,29007.
9465.400000000,29007.
9495.400000000,0.0000
9526.400000000,0.0000
9557.400000000,0.0000
9586.400000000,0.0000
9617.400000000,0.0000
9647.400000000,29007.
9678.400000000,29007.
9708.400000000,29007.
9739.400000000,29007.
9770.400000000,29007.
9800.400000000,29007.
9831.400000000,29007.
9861.400000000,0.0000
9892.400000000,0.0000
9923.400000000,0.0000
9951.400000000,0.0000
9982.400000000,29007.
10012.40000000,29007.
10043.40000000,29007.
10073.40000000,29007.
10104.40000000,29007.
10135.40000000,29007.
10165.40000000,29007.
10196.40000000,0.0000
10226.40000000,0.0000
10257.40000000,0.0000
10288.40000000,0.0000
10316.40000000,0.0000
10347.40000000,29007.
10377.40000000,29007.
10408.40000000,29007.
10438.40000000,29007.
10469.40000000,29007.
10500.40000000,29007.
10530.40000000,29007.
10561.40000000,29007.
10591.40000000,0.0000
10622.40000000,0.0000
10653.40000000,0.0000
10681.40000000,0.0000
10712.40000000,29007.
10742.40000000,29007.
10773.40000000,29007.
10803.40000000,29007.
10834.40000000,29007.
10865.40000000,29007.
10895.40000000,29007.
10926.40000000,29007.
10956.40000000,0.0000
10987.40000000,0.0000
