 KSTP      KPER              PERTIM         TOTIM          NCOL      NROW      ILAY      TEXT
 1         32                31.00000       973.4000       65        64        5         HEAD
 1         32                31.00000       973.4000       65        64        6         HEAD
 1         33                31.00000       1004.400       65        64        1         HEAD
 1         33                31.00000       1004.400       65        64        2         HEAD
 1         33                31.00000       1004.400       65        64        3         HEAD
 1         33                31.00000       1004.400       65        64        4         HEAD
 1         33                31.00000       1004.400       65        64        5         HEAD
 1         33                31.00000       1004.400       65        64        6         HEAD
 1         34                30.00000       1034.400       65        64        1         HEAD
 1         34                30.00000       1034.400       65        64        2         HEAD
 1         34                30.00000       1034.400       65        64        3         HEAD
 1         34                30.00000       1034.400       65        64        4         HEAD
 1         34                30.00000       1034.400       65        64        5         HEAD
 1         34                30.00000       1034.400       65        64        6         HEAD
 1         35                31.00000       1065.400       65        64        1         HEAD
 1         35                31.00000       1065.400       65        64        2         HEAD
 1         35                31.00000       1065.400       65        64        3         HEAD
 1         35                31.00000       1065.400       65        64        4         HEAD
 1         35                31.00000       1065.400       65        64        5         HEAD
 1         35                31.00000       1065.400       65        64        6         HEAD
 1         36                30.00000       1095.400       65        64        1         HEAD
 1         36                30.00000       1095.400       65        64        2         HEAD
 1         36                30.00000       1095.400       65        64        3         HEAD
 1         36                30.00000       1095.400       65        64        4         HEAD
 1         36                30.00000       1095.400       65        64        5         HEAD
 1         36                30.00000       1095.400       65        64        6         HEAD
 1         37                31.00000       1126.400       65        64        1         HEAD
 1         37                31.00000       1126.400       65        64        2         HEAD
 1         37                31.00000       1126.400       65        64        3         HEAD
 1         37                31.00000       1126.400       65        64        4         HEAD
 1         37                31.00000       1126.400       65        64        5         HEAD
 1         37                31.00000       1126.400       65        64        6         HEAD
 1         38                31.00000       1157.400       65        64        1         HEAD
 1         38                31.00000       1157.400       65        64        2         HEAD
 1         38                31.00000       1157.400       65        64        3         HEAD
 1         38                31.00000       1157.400       65        64        4         HEAD
 1         38                31.00000       1157.400       65        64        5         HEAD
 1         38                31.00000       1157.400       65        64        6         HEAD
 1         39                28.00000       1185.400       65        64        1         HEAD
 1         39                28.00000       1185.400       65        64        2         HEAD
 1         39                28.00000       1185.400       65        64        3         HEAD
 1         39                28.00000       1185.400       65        64        4         HEAD
 1         39                28.00000       1185.400       65        64        5         HEAD
 1         39                28.00000       1185.400       65        64        6         HEAD
 1         40                31.00000       1216.400       65        64        1         HEAD
 1         40                31.00000       1216.400       65        64        2         HEAD
 1         40                31.00000       1216.400       65        64        3         HEAD
 1         40                31.00000       1216.400       65        64        4         HEAD
 1         40                31.00000       1216.400       65        64        5         HEAD
 1         40                31.00000       1216.400       65        64        6         HEAD
 1         41                30.00000       1246.400       65        64        1         HEAD
 1         41                30.00000       1246.400       65        64        2         HEAD
 1         41                30.00000       1246.400       65        64        3         HEAD
 1         41                30.00000       1246.400       65        64        4         HEAD
 1         41                30.00000       1246.400       65        64        5         HEAD
 1         41                30.00000       1246.400       65        64        6         HEAD
 1         42                31.00000       1277.400       65        64        1         HEAD
 1         42                31.00000       1277.400       65        64        2         HEAD
 1         42                31.00000       1277.400       65        64        3         HEAD
 1         42                31.00000       1277.400       65        64        4         HEAD
 1         42                31.00000       1277.400       65        64        5         HEAD
 1         42                31.00000       1277.400       65        64        6         HEAD
 1         43                30.00000       1307.400       65        64        1         HEAD
 1         43                30.00000       1307.400       65        64        2         HEAD
 1         43                30.00000       1307.400       65        64        3         HEAD
 1         43                30.00000       1307.400       65        64        4         HEAD
 1         43                30.00000       1307.400       65        64        5         HEAD
 1         43                30.00000       1307.400       65        64        6         HEAD
 1         44                31.00000       1338.400       65        64        1         HEAD
 1         44                31.00000       1338.400       65        64        2         HEAD
 1         44                31.00000       1338.400       65        64        3         HEAD
 1         44                31.00000       1338.400       65        64        4         HEAD
 1         44                31.00000       1338.400       65        64        5         HEAD
 1         44                31.00000       1338.400       65        64        6         HEAD
 1         45                31.00000       1369.400       65        64        1         HEAD
 1         45                31.00000       1369.400       65        64        2         HEAD
 1         45                31.00000       1369.400       65        64        3         HEAD
 1         45                31.00000       1369.400       65        64        4         HEAD
 1         45                31.00000       1369.400       65        64        5         HEAD
 1         45                31.00000       1369.400       65        64        6         HEAD
 1         46                30.00000       1399.400       65        64        1         HEAD
 1         46                30.00000       1399.400       65        64        2         HEAD
 1         46                30.00000       1399.400       65        64        3         HEAD
 1         46                30.00000       1399.400       65        64        4         HEAD
 1         46                30.00000       1399.400       65        64        5         HEAD
 1         46                30.00000       1399.400       65        64        6         HEAD
 1         47                31.00000       1430.400       65        64        1         HEAD
 1         47                31.00000       1430.400       65        64        2         HEAD
 1         47                31.00000       1430.400       65        64        3         HEAD
 1         47                31.00000       1430.400       65        64        4         HEAD
 1         47                31.00000       1430.400       65        64        5         HEAD
 1         47                31.00000       1430.400       65        64        6         HEAD
 1         48                30.00000       1460.400       65        64        1         HEAD
 1         48                30.00000       1460.400       65        64        2         HEAD
 1         48                30.00000       1460.400       65        64        3         HEAD
 1         48                30.00000       1460.400       65        64        4         HEAD
 1         48                30.00000       1460.400       65        64        5         HEAD
 1         48                30.00000       1460.400       65        64        6         HEAD
 1         49                31.00000       1491.400       65        64        1         HEAD
 1         49                31.00000       1491.400       65        64        2         HEAD
 1         49                31.00000       1491.400       65        64        3         HEAD
 1         49                31.00000       1491.400       65        64        4         HEAD
 1         49                31.00000       1491.400       65        64        5         HEAD
 1         49                31.00000       1491.400       65        64        6         HEAD
 1         50                31.00000       1522.400       65        64        1         HEAD
 1         50                31.00000       1522.400       65        64        2         HEAD
 1         50                31.00000       1522.400       65        64        3         HEAD
 1         50                31.00000       1522.400       65        64        4         HEAD
 1         50                31.00000       1522.400       65        64        5         HEAD
 1         50                31.00000       1522.400       65        64        6         HEAD
 1         51                28.00000       1550.400       65        64        1         HEAD
 1         51                28.00000       1550.400       65        64        2         HEAD
 1         51                28.00000       1550.400       65        64        3         HEAD
 1         51                28.00000       1550.400       65        64        4         HEAD
 1         51                28.00000       1550.400       65        64        5         HEAD
 1         51                28.00000       1550.400       65        64        6         HEAD
 1         52                31.00000       1581.400       65        64        1         HEAD
 1         52                31.00000       1581.400       65        64        2         HEAD
 1         52                31.00000       1581.400       65        64        3         HEAD
 1         52                31.00000       1581.400       65        64        4         HEAD
 1         52                31.00000       1581.400       65        64        5         HEAD
 1         52                31.00000       1581.400       65        64        6         HEAD
 1         53                30.00000       1611.400       65        64        1         HEAD
 1         53                30.00000       1611.400       65        64        2         HEAD
 1         53                30.00000       1611.400       65        64        3         HEAD
 1         53                30.00000       1611.400       65        64        4         HEAD
 1         53                30.00000       1611.400       65        64        5         HEAD
 1         53                30.00000       1611.400       65        64        6         HEAD
 1         54                31.00000       1642.400       65        64        1         HEAD
 1         54                31.00000       1642.400       65        64        2         HEAD
 1         54                31.00000       1642.400       65        64        3         HEAD
 1         54                31.00000       1642.400       65        64        4         HEAD
 1         54                31.00000       1642.400       65        64        5         HEAD
 1         54                31.00000       1642.400       65        64        6         HEAD
 1         55                30.00000       1672.400       65        64        1         HEAD
 1         55                30.00000       1672.400       65        64        2         HEAD
 1         55                30.00000       1672.400       65        64        3         HEAD
 1         55                30.00000       1672.400       65        64        4         HEAD
 1         55                30.00000       1672.400       65        64        5         HEAD
 1         55                30.00000       1672.400       65        64        6         HEAD
 1         56                31.00000       1703.400       65        64        1         HEAD
 1         56                31.00000       1703.400       65        64        2         HEAD
 1         56                31.00000       1703.400       65        64        3         HEAD
 1         56                31.00000       1703.400       65        64        4         HEAD
 1         56                31.00000       1703.400       65        64        5         HEAD
 1         56                31.00000       1703.400       65        64        6         HEAD
 1         57                31.00000       1734.400       65        64        1         HEAD
 1         57                31.00000       1734.400       65        64        2         HEAD
 1         57                31.00000       1734.400       65        64        3         HEAD
 1         57                31.00000       1734.400       65        64        4         HEAD
 1         57                31.00000       1734.400       65        64        5         HEAD
 1         57                31.00000       1734.400       65        64        6         HEAD
 1         58                30.00000       1764.400       65        64        1         HEAD
 1         58                30.00000       1764.400       65        64        2         HEAD
 1         58                30.00000       1764.400       65        64        3         HEAD
 1         58                30.00000       1764.400       65        64        4         HEAD
 1         58                30.00000       1764.400       65        64        5         HEAD
 1         58                30.00000       1764.400       65        64        6         HEAD
 1         59                31.00000       1795.400       65        64        1         HEAD
 1         59                31.00000       1795.400       65        64        2         HEAD
 1         59                31.00000       1795.400       65        64        3         HEAD
 1         59                31.00000       1795.400       65        64        4         HEAD
 1         59                31.00000       1795.400       65        64        5         HEAD
 1         59                31.00000       1795.400       65        64        6         HEAD
 1         60                30.00000       1825.400       65        64        1         HEAD
 1         60                30.00000       1825.400       65        64        2         HEAD
 1         60                30.00000       1825.400       65        64        3         HEAD
 1         60                30.00000       1825.400       65        64        4         HEAD
 1         60                30.00000       1825.400       65        64        5         HEAD
 1         60                30.00000       1825.400       65        64        6         HEAD
 1         61                31.00000       1856.400       65        64        1         HEAD
 1         61                31.00000       1856.400       65        64        2         HEAD
 1         61                31.00000       1856.400       65        64        3         HEAD
 1         61                31.00000       1856.400       65        64        4         HEAD
 1         61                31.00000       1856.400       65        64        5         HEAD
 1         61                31.00000       1856.400       65        64        6         HEAD
 1         62                31.00000       1887.400       65        64        1         HEAD
 1         62                31.00000       1887.400       65        64        2         HEAD
 1         62                31.00000       1887.400       65        64        3         HEAD
 1         62                31.00000       1887.400       65        64        4         HEAD
 1         62                31.00000       1887.400       65        64        5         HEAD
 1         62                31.00000       1887.400       65        64        6         HEAD
 1         63                28.00000       1915.400       65        64        1         HEAD
 1         63                28.00000       1915.400       65        64        2         HEAD
 1         63                28.00000       1915.400       65        64        3         HEAD
 1         63                28.00000       1915.400       65        64        4         HEAD
 1         63                28.00000       1915.400       65        64        5         HEAD
 1         63                28.00000       1915.400       65        64        6         HEAD
 1         64                31.00000       1946.400       65        64        1         HEAD
 1         64                31.00000       1946.400       65        64        2         HEAD
 1         64                31.00000       1946.400       65        64        3         HEAD
 1         64                31.00000       1946.400       65        64        4         HEAD
 1         64                31.00000       1946.400       65        64        5         HEAD
 1         64                31.00000       1946.400       65        64        6         HEAD
 1         65                30.00000       1976.400       65        64        1         HEAD
 1         65                30.00000       1976.400       65        64        2         HEAD
 1         65                30.00000       1976.400       65        64        3         HEAD
 1         65                30.00000       1976.400       65        64        4         HEAD
 1         65                30.00000       1976.400       65        64        5         HEAD
 1         65                30.00000       1976.400       65        64        6         HEAD
 1         66                31.00000       2007.400       65        64        1         HEAD
 1         66                31.00000       2007.400       65        64        2         HEAD
 1         66                31.00000       2007.400       65        64        3         HEAD
 1         66                31.00000       2007.400       65        64        4         HEAD
 1         66                31.00000       2007.400       65        64        5         HEAD
 1         66                31.00000       2007.400       65        64        6         HEAD
 1         67                30.00000       2037.400       65        64        1         HEAD
 1         67                30.00000       2037.400       65        64        2         HEAD
 1         67                30.00000       2037.400       65        64        3         HEAD
 1         67                30.00000       2037.400       65        64        4         HEAD
 1         67                30.00000       2037.400       65        64        5         HEAD
 1         67                30.00000       2037.400       65        64        6         HEAD
 1         68                31.00000       2068.400       65        64        1         HEAD
 1         68                31.00000       2068.400       65        64        2         HEAD
 1         68                31.00000       2068.400       65        64        3         HEAD
 1         68                31.00000       2068.400       65        64        4         HEAD
 1         68                31.00000       2068.400       65        64        5         HEAD
 1         68                31.00000       2068.400       65        64        6         HEAD
