time,DRN01,DRN02,DRN03,DRN04,DRN05,DRN06,DRN07,DRN08,DRN09,DRN10,DRN11,DRN12,DRN13,DRN14,DRN15,DRN16,DRN17,DRN18
1276.000000000,-82399.,-0.80821E+06,-0.16264E+06,-0.12173E+07,-0.61188E+07,-0.59535E+06,-0.28453E+07,-0.26945E+07,-0.20603E+08,0.0000,-0.69935E+07,-0.57855E+07,-0.99501E+07,-0.55475E+07,-0.15643E+07,-0.42556E+07,-0.64233E+07,-0.16147E+07
1307.000000000,-84576.,-0.84892E+06,-0.17140E+06,-0.12744E+07,-0.66254E+07,-0.60645E+06,-0.32346E+07,-0.27808E+07,-0.22191E+08,0.0000,-0.78116E+07,-0.56939E+07,-0.10729E+08,-0.63432E+07,-0.17299E+07,-0.52272E+07,-0.70571E+07,-0.18064E+07
1338.000000000,-87490.,-0.88343E+06,-0.18056E+06,-0.13519E+07,-0.69449E+07,-0.62320E+06,-0.34031E+07,-0.30219E+07,-0.22274E+08,0.0000,-0.79797E+07,-0.61742E+07,-0.11353E+08,-0.72194E+07,-0.18358E+07,-0.57708E+07,-0.73558E+07,-0.19409E+07
1368.000000000,-88613.,-0.89434E+06,-0.18326E+06,-0.13807E+07,-0.70154E+07,-0.63145E+06,-0.34166E+07,-0.30539E+07,-0.21358E+08,0.0000,-0.77677E+07,-0.56008E+07,-0.11441E+08,-0.73794E+07,-0.18243E+07,-0.51944E+07,-0.71128E+07,-0.19782E+07
1399.000000000,-89840.,-0.87970E+06,-0.17912E+06,-0.13517E+07,-0.67720E+07,-0.62355E+06,-0.31415E+07,-0.28486E+07,-0.18775E+08,0.0000,-0.67187E+07,-0.41619E+07,-0.11198E+08,-0.68364E+07,-0.17671E+07,-0.37637E+07,-0.64945E+07,-0.19227E+07
1429.000000000,-87012.,-0.84190E+06,-0.16998E+06,-0.12895E+07,-0.63306E+07,-0.60777E+06,-0.27382E+07,-0.25538E+07,-0.16363E+08,0.0000,-0.55850E+07,-0.26860E+07,-0.10251E+08,-0.58240E+07,-0.16924E+07,-0.20777E+07,-0.50477E+07,-0.18028E+07
1460.000000000,-84262.,-0.81255E+06,-0.16174E+06,-0.12301E+07,-0.59443E+07,-0.59285E+06,-0.24629E+07,-0.23607E+07,-0.15052E+08,0.0000,-0.49777E+07,-0.20696E+07,-0.95332E+07,-0.49912E+07,-0.16223E+07,-0.14340E+07,-0.41996E+07,-0.16886E+07
1491.000000000,-81594.,-0.78490E+06,-0.15415E+06,-0.11744E+07,-0.56134E+07,-0.57894E+06,-0.22433E+07,-0.22024E+07,-0.14217E+08,0.0000,-0.45921E+07,-0.17481E+07,-0.89823E+07,-0.43632E+07,-0.15598E+07,-0.11746E+07,-0.36840E+07,-0.15845E+07
1519.000000000,-79208.,-0.76097E+06,-0.14779E+06,-0.11267E+07,-0.53521E+07,-0.56706E+06,-0.20792E+07,-0.20834E+07,-0.13672E+08,-1222.4,-0.43349E+07,-0.15840E+07,-0.84463E+07,-0.39287E+07,-0.15062E+07,-0.10590E+07,-0.33667E+07,-0.14983E+07
1550.000000000,-76613.,-0.73562E+06,-0.14125E+06,-0.10764E+07,-0.50990E+07,-0.55461E+06,-0.19437E+07,-0.19989E+07,-0.13209E+08,-2323.9,-0.41051E+07,-0.14636E+07,-0.79184E+07,-0.35331E+07,-0.14499E+07,-0.98894E+06,-0.31288E+07,-0.14094E+07
