sp,days,start_date,mid_date,year,month
239,30,2005-11-01 00:00:00,2005-11-16 00:00:00,2005,11
240,31,2005-12-01 00:00:00,2005-12-16 12:00:00,2005,12
241,31,2006-01-01 00:00:00,2006-01-16 12:00:00,2006,1
242,28,2006-02-01 00:00:00,2006-02-15 00:00:00,2006,2
243,31,2006-03-01 00:00:00,2006-03-16 12:00:00,2006,3
244,30,2006-04-01 00:00:00,2006-04-16 00:00:00,2006,4
245,31,2006-05-01 00:00:00,2006-05-16 12:00:00,2006,5
246,30,2006-06-01 00:00:00,2006-06-16 00:00:00,2006,6
247,31,2006-07-01 00:00:00,2006-07-16 12:00:00,2006,7
248,31,2006-08-01 00:00:00,2006-08-16 12:00:00,2006,8
249,30,2006-09-01 00:00:00,2006-09-16 00:00:00,2006,9
250,31,2006-10-01 00:00:00,2006-10-16 12:00:00,2006,10
251,30,2006-11-01 00:00:00,2006-11-16 00:00:00,2006,11
252,31,2006-12-01 00:00:00,2006-12-16 12:00:00,2006,12
253,31,2007-01-01 00:00:00,2007-01-16 12:00:00,2007,1
254,28,2007-02-01 00:00:00,2007-02-15 00:00:00,2007,2
255,31,2007-03-01 00:00:00,2007-03-16 12:00:00,2007,3
256,30,2007-04-01 00:00:00,2007-04-16 00:00:00,2007,4
257,31,2007-05-01 00:00:00,2007-05-16 12:00:00,2007,5
258,30,2007-06-01 00:00:00,2007-06-16 00:00:00,2007,6
259,31,2007-07-01 00:00:00,2007-07-16 12:00:00,2007,7
260,31,2007-08-01 00:00:00,2007-08-16 12:00:00,2007,8
261,30,2007-09-01 00:00:00,2007-09-16 00:00:00,2007,9
262,31,2007-10-01 00:00:00,2007-10-16 12:00:00,2007,10
263,30,2007-11-01 00:00:00,2007-11-16 00:00:00,2007,11
264,31,2007-12-01 00:00:00,2007-12-16 12:00:00,2007,12
265,31,2008-01-01 00:00:00,2008-01-16 12:00:00,2008,1
266,29,2008-02-01 00:00:00,2008-02-15 12:00:00,2008,2
267,31,2008-03-01 00:00:00,2008-03-16 12:00:00,2008,3
268,30,2008-04-01 00:00:00,2008-04-16 00:00:00,2008,4
269,31,2008-05-01 00:00:00,2008-05-16 12:00:00,2008,5
