time,DRN01,DRN02,DRN03,DRN04,DRN05,DRN06,DRN07,DRN08,DRN09,DRN10,DRN11,DRN12,DRN13,DRN14,DRN15,DRN16,DRN17,DRN18
1246.400000000,-0.13431E+06,-0.10074E+07,-0.15130E+06,-0.14060E+07,-0.54960E+07,-0.74531E+06,-0.25720E+07,-0.24432E+07,-0.16545E+08,-78163.,-0.57527E+07,-0.22138E+07,-0.93503E+07,-0.39339E+07,-0.17820E+07,-0.14251E+07,-0.41561E+07,-0.14514E+07
1277.400000000,-0.13708E+06,-0.10696E+07,-0.16045E+06,-0.14738E+07,-0.59974E+07,-0.77195E+06,-0.31786E+07,-0.27909E+07,-0.21600E+08,-77552.,-0.79477E+07,-0.45219E+07,-0.10426E+08,-0.48513E+07,-0.18334E+07,-0.31111E+07,-0.63935E+07,-0.15650E+07
1307.400000000,-0.13897E+06,-0.11271E+07,-0.16785E+06,-0.15471E+07,-0.63723E+07,-0.79731E+06,-0.37360E+07,-0.30604E+07,-0.24134E+08,-71744.,-0.96859E+07,-0.60120E+07,-0.11543E+08,-0.57289E+07,-0.19193E+07,-0.45761E+07,-0.77691E+07,-0.17073E+07
1338.400000000,-0.14041E+06,-0.11717E+07,-0.17444E+06,-0.16320E+07,-0.67223E+07,-0.82138E+06,-0.41765E+07,-0.32925E+07,-0.24975E+08,-79360.,-0.10441E+08,-0.66232E+07,-0.12411E+08,-0.62906E+07,-0.20411E+07,-0.50341E+07,-0.86024E+07,-0.18562E+07
1369.400000000,-0.14207E+06,-0.12203E+07,-0.18499E+06,-0.17337E+07,-0.71065E+07,-0.83604E+06,-0.44844E+07,-0.35705E+07,-0.25664E+08,-95111.,-0.10936E+08,-0.67717E+07,-0.13106E+08,-0.72198E+07,-0.21794E+07,-0.57374E+07,-0.89501E+07,-0.20120E+07
1399.400000000,-0.14336E+06,-0.12415E+07,-0.18853E+06,-0.17560E+07,-0.72380E+07,-0.84664E+06,-0.45501E+07,-0.35798E+07,-0.24342E+08,-94167.,-0.10517E+08,-0.63585E+07,-0.13262E+08,-0.74688E+07,-0.21810E+07,-0.52841E+07,-0.85767E+07,-0.20462E+07
1430.400000000,-0.14189E+06,-0.11847E+07,-0.18021E+06,-0.16864E+07,-0.68364E+07,-0.83110E+06,-0.38924E+07,-0.32343E+07,-0.19994E+08,-76384.,-0.83404E+07,-0.42952E+07,-0.12595E+08,-0.66932E+07,-0.20919E+07,-0.32747E+07,-0.70512E+07,-0.19420E+07
1460.400000000,-0.13895E+06,-0.11423E+07,-0.17206E+06,-0.16038E+07,-0.64371E+07,-0.81197E+06,-0.34986E+07,-0.29620E+07,-0.17857E+08,-77527.,-0.73246E+07,-0.30016E+07,-0.11578E+08,-0.58352E+07,-0.20087E+07,-0.20016E+07,-0.55056E+07,-0.18099E+07
1491.400000000,-0.13614E+06,-0.11092E+07,-0.16440E+06,-0.15257E+07,-0.60965E+07,-0.79405E+06,-0.32351E+07,-0.27491E+07,-0.16751E+08,-81700.,-0.66604E+07,-0.24582E+07,-0.10653E+08,-0.51197E+07,-0.19314E+07,-0.14667E+07,-0.45811E+07,-0.16885E+07
1522.400000000,-0.13343E+06,-0.10785E+07,-0.15732E+06,-0.14526E+07,-0.58049E+07,-0.77748E+06,-0.30289E+07,-0.25745E+07,-0.16049E+08,-84757.,-0.61775E+07,-0.22019E+07,-0.99943E+07,-0.45354E+07,-0.18594E+07,-0.12377E+07,-0.40063E+07,-0.15774E+07
1550.400000000,-0.13102E+06,-0.10520E+07,-0.15136E+06,-0.13930E+07,-0.55748E+07,-0.76340E+06,-0.28866E+07,-0.24389E+07,-0.15582E+08,-86056.,-0.58346E+07,-0.20688E+07,-0.94650E+07,-0.41103E+07,-0.17993E+07,-0.11226E+07,-0.36488E+07,-0.14842E+07
1581.400000000,-0.12850E+06,-0.10249E+07,-0.14566E+06,-0.13381E+07,-0.53666E+07,-0.74900E+06,-0.27639E+07,-0.23407E+07,-0.15457E+08,-86427.,-0.59022E+07,-0.20033E+07,-0.90795E+07,-0.37551E+07,-0.17392E+07,-0.10627E+07,-0.34002E+07,-0.13971E+07
1611.400000000,-0.13235E+06,-0.10747E+07,-0.15448E+06,-0.14065E+07,-0.56878E+07,-0.76158E+06,-0.31683E+07,-0.27756E+07,-0.19790E+08,-94896.,-0.73872E+07,-0.44744E+07,-0.97309E+07,-0.45197E+07,-0.18218E+07,-0.23389E+07,-0.49558E+07,-0.15004E+07
1642.400000000,-0.13751E+06,-0.11604E+07,-0.16480E+06,-0.15086E+07,-0.61479E+07,-0.79131E+06,-0.38346E+07,-0.31646E+07,-0.22975E+08,-87553.,-0.90568E+07,-0.65457E+07,-0.10601E+08,-0.55781E+07,-0.18652E+07,-0.38865E+07,-0.62703E+07,-0.16009E+07
1672.400000000,-0.13892E+06,-0.11919E+07,-0.17234E+06,-0.15546E+07,-0.64467E+07,-0.81143E+06,-0.42066E+07,-0.32593E+07,-0.23760E+08,-58287.,-0.98869E+07,-0.67078E+07,-0.11347E+08,-0.62871E+07,-0.18875E+07,-0.49083E+07,-0.71894E+07,-0.17158E+07
1703.400000000,-0.14013E+06,-0.12181E+07,-0.18158E+06,-0.16174E+07,-0.68045E+07,-0.83840E+06,-0.44238E+07,-0.34331E+07,-0.24795E+08,-50305.,-0.10710E+08,-0.72956E+07,-0.12040E+08,-0.70399E+07,-0.19472E+07,-0.55061E+07,-0.80192E+07,-0.18332E+07
1734.400000000,-0.14148E+06,-0.12440E+07,-0.19014E+06,-0.16816E+07,-0.70638E+07,-0.85413E+06,-0.46130E+07,-0.36164E+07,-0.25094E+08,-49465.,-0.11018E+08,-0.71709E+07,-0.12511E+08,-0.77463E+07,-0.19933E+07,-0.57321E+07,-0.82992E+07,-0.19086E+07
1764.400000000,-0.14145E+06,-0.12399E+07,-0.19172E+06,-0.16712E+07,-0.71075E+07,-0.85860E+06,-0.44272E+07,-0.35087E+07,-0.23513E+08,-41101.,-0.10314E+08,-0.60390E+07,-0.12500E+08,-0.78356E+07,-0.19721E+07,-0.51474E+07,-0.78949E+07,-0.19183E+07
1795.400000000,-0.13938E+06,-0.11816E+07,-0.18466E+06,-0.16077E+07,-0.67551E+07,-0.84351E+06,-0.37897E+07,-0.31804E+07,-0.19242E+08,-28324.,-0.80451E+07,-0.41831E+07,-0.11868E+08,-0.71045E+07,-0.18884E+07,-0.34309E+07,-0.66518E+07,-0.18339E+07
1825.400000000,-0.13642E+06,-0.11397E+07,-0.17603E+06,-0.15315E+07,-0.63419E+07,-0.82364E+06,-0.34456E+07,-0.29242E+07,-0.17231E+08,-32492.,-0.70904E+07,-0.29439E+07,-0.11001E+08,-0.61512E+07,-0.18130E+07,-0.20576E+07,-0.52083E+07,-0.17077E+07
1856.400000000,-0.13358E+06,-0.11060E+07,-0.16786E+06,-0.14587E+07,-0.59892E+07,-0.80499E+06,-0.32022E+07,-0.27160E+07,-0.16195E+08,-38608.,-0.64585E+07,-0.24229E+07,-0.10206E+08,-0.53563E+07,-0.17438E+07,-0.14825E+07,-0.43518E+07,-0.15911E+07
1887.400000000,-0.13086E+06,-0.10747E+07,-0.16033E+06,-0.13968E+07,-0.56901E+07,-0.78773E+06,-0.30099E+07,-0.25411E+07,-0.15526E+08,-43374.,-0.60028E+07,-0.21668E+07,-0.95718E+07,-0.47086E+07,-0.16796E+07,-0.12351E+07,-0.38238E+07,-0.14904E+07
1915.400000000,-0.12846E+06,-0.10479E+07,-0.15397E+06,-0.13463E+07,-0.54532E+07,-0.77305E+06,-0.28777E+07,-0.24131E+07,-0.15073E+08,-46352.,-0.56797E+07,-0.20316E+07,-0.90241E+07,-0.42371E+07,-0.16247E+07,-0.11093E+07,-0.34958E+07,-0.14092E+07
1946.400000000,-0.12585E+06,-0.10195E+07,-0.14749E+06,-0.12932E+07,-0.52286E+07,-0.75777E+06,-0.27575E+07,-0.23036E+07,-0.14769E+08,-49167.,-0.54980E+07,-0.19374E+07,-0.86400E+07,-0.38353E+07,-0.15673E+07,-0.10446E+07,-0.32551E+07,-0.13262E+07
1976.400000000,-0.12731E+06,-0.10452E+07,-0.15223E+06,-0.13154E+07,-0.54117E+07,-0.76849E+06,-0.29869E+07,-0.25161E+07,-0.17915E+08,-52980.,-0.64870E+07,-0.33407E+07,-0.90339E+07,-0.44000E+07,-0.15555E+07,-0.20263E+07,-0.45592E+07,-0.13563E+07
2007.400000000,-0.13200E+06,-0.11418E+07,-0.16287E+06,-0.13878E+07,-0.59168E+07,-0.80961E+06,-0.35822E+07,-0.29215E+07,-0.21664E+08,-50842.,-0.81131E+07,-0.55262E+07,-0.98526E+07,-0.55977E+07,-0.15691E+07,-0.37205E+07,-0.60328E+07,-0.14599E+07
2037.400000000,-0.13446E+06,-0.12106E+07,-0.17140E+06,-0.14516E+07,-0.63294E+07,-0.82639E+06,-0.40512E+07,-0.31686E+07,-0.23453E+08,-39308.,-0.93265E+07,-0.63414E+07,-0.10634E+08,-0.65797E+07,-0.16004E+07,-0.50060E+07,-0.72825E+07,-0.15762E+07
2068.400000000,-0.13490E+06,-0.12135E+07,-0.17503E+06,-0.14989E+07,-0.65551E+07,-0.83806E+06,-0.40986E+07,-0.31715E+07,-0.23416E+08,-24644.,-0.96379E+07,-0.60055E+07,-0.11292E+08,-0.69972E+07,-0.16412E+07,-0.53105E+07,-0.77316E+07,-0.16807E+07
2099.400000000,-0.13523E+06,-0.11940E+07,-0.17801E+06,-0.15261E+07,-0.66093E+07,-0.84468E+06,-0.40022E+07,-0.31243E+07,-0.21304E+08,-14846.,-0.90524E+07,-0.53928E+07,-0.11720E+08,-0.72801E+07,-0.16501E+07,-0.53333E+07,-0.76346E+07,-0.17617E+07
2129.400000000,-0.13438E+06,-0.11498E+07,-0.17952E+06,-0.15123E+07,-0.66012E+07,-0.83591E+06,-0.35455E+07,-0.30148E+07,-0.19038E+08,-11635.,-0.81914E+07,-0.42638E+07,-0.11677E+08,-0.74685E+07,-0.16374E+07,-0.50066E+07,-0.71720E+07,-0.17958E+07
2160.400000000,-0.13223E+06,-0.10945E+07,-0.17619E+06,-0.14640E+07,-0.65065E+07,-0.81620E+06,-0.30661E+07,-0.28484E+07,-0.17066E+08,-6481.5,-0.69477E+07,-0.32577E+07,-0.11257E+08,-0.69025E+07,-0.15686E+07,-0.35441E+07,-0.63505E+07,-0.17788E+07
2190.400000000,-0.12906E+06,-0.10540E+07,-0.16838E+06,-0.14045E+07,-0.61124E+07,-0.79482E+06,-0.28211E+07,-0.26289E+07,-0.15645E+08,-10122.,-0.62373E+07,-0.24283E+07,-0.10601E+08,-0.59646E+07,-0.15037E+07,-0.20676E+07,-0.49910E+07,-0.16632E+07
2221.400000000,-0.12615E+06,-0.10195E+07,-0.16095E+06,-0.13471E+07,-0.57767E+07,-0.77544E+06,-0.26739E+07,-0.24593E+07,-0.14949E+08,-14684.,-0.57517E+07,-0.20674E+07,-0.98253E+07,-0.51826E+07,-0.14444E+07,-0.14668E+07,-0.41877E+07,-0.15561E+07
2252.400000000,-0.12342E+06,-0.98936E+06,-0.15402E+06,-0.12928E+07,-0.54923E+07,-0.75783E+06,-0.25536E+07,-0.23336E+07,-0.14492E+08,-18245.,-0.53846E+07,-0.19015E+07,-0.91563E+07,-0.45563E+07,-0.13898E+07,-0.12145E+07,-0.36908E+07,-0.14579E+07
2281.400000000,-0.12094E+06,-0.96362E+06,-0.14793E+06,-0.12442E+07,-0.52593E+07,-0.74255E+06,-0.24569E+07,-0.22286E+07,-0.14155E+08,-20631.,-0.51469E+07,-0.18116E+07,-0.87306E+07,-0.40867E+07,-0.13418E+07,-0.10854E+07,-0.33785E+07,-0.13725E+07
2312.400000000,-0.11811E+06,-0.93757E+06,-0.14195E+06,-0.11951E+07,-0.50445E+07,-0.72733E+06,-0.23678E+07,-0.21308E+07,-0.13884E+08,-22146.,-0.49735E+07,-0.17493E+07,-0.82006E+07,-0.37148E+07,-0.12938E+07,-0.10332E+07,-0.31674E+07,-0.12893E+07
2342.400000000,-0.11775E+06,-0.94987E+06,-0.14603E+06,-0.12076E+07,-0.52206E+07,-0.72332E+06,-0.26668E+07,-0.22657E+07,-0.17035E+08,-15407.,-0.58572E+07,-0.24649E+07,-0.86914E+07,-0.41682E+07,-0.12756E+07,-0.20024E+07,-0.45381E+07,-0.13232E+07
2373.400000000,-0.11905E+06,-0.96006E+06,-0.15045E+06,-0.12480E+07,-0.54629E+07,-0.73998E+06,-0.29779E+07,-0.23934E+07,-0.18821E+08,0.0000,-0.68041E+07,-0.38590E+07,-0.94544E+07,-0.49695E+07,-0.12883E+07,-0.34328E+07,-0.61382E+07,-0.14075E+07
2403.400000000,-0.12116E+06,-0.98268E+06,-0.15486E+06,-0.12808E+07,-0.55241E+07,-0.76161E+06,-0.32383E+07,-0.24814E+07,-0.19086E+08,0.0000,-0.73288E+07,-0.46297E+07,-0.10135E+08,-0.54459E+07,-0.13020E+07,-0.40766E+07,-0.66818E+07,-0.14709E+07
2434.400000000,-0.12115E+06,-0.97546E+06,-0.15695E+06,-0.13025E+07,-0.54766E+07,-0.76271E+06,-0.32395E+07,-0.24776E+07,-0.18173E+08,0.0000,-0.73326E+07,-0.40256E+07,-0.10468E+08,-0.57210E+07,-0.13039E+07,-0.41278E+07,-0.66501E+07,-0.14975E+07
2465.400000000,-0.11909E+06,-0.91789E+06,-0.15891E+06,-0.12954E+07,-0.53654E+07,-0.75722E+06,-0.26231E+07,-0.23771E+07,-0.16037E+08,0.0000,-0.60267E+07,-0.33296E+07,-0.10087E+08,-0.60865E+07,-0.12200E+07,-0.40363E+07,-0.56512E+07,-0.14887E+07
2495.400000000,-0.11682E+06,-0.86295E+06,-0.15859E+06,-0.12695E+07,-0.52810E+07,-0.75364E+06,-0.21807E+07,-0.23284E+07,-0.14271E+08,0.0000,-0.51413E+07,-0.32844E+07,-0.98151E+07,-0.61042E+07,-0.11591E+07,-0.36047E+07,-0.52957E+07,-0.14624E+07
