time,LOWELL
5417.400000000,0.22436E+07
5448.400000000,0.30791E+07
5478.400000000,0.30711E+07
5509.400000000,0.30680E+07
5540.400000000,0.30704E+07
5568.400000000,0.30763E+07
5599.400000000,0.29040E+07
5629.400000000,0.29317E+07
5660.400000000,0.27968E+07
5690.400000000,0.23976E+07
5721.400000000,0.18645E+07
5752.400000000,0.15051E+07
5782.400000000,0.15993E+07
5813.400000000,0.16833E+07
5843.400000000,0.17241E+07
5874.400000000,0.17525E+07
5905.400000000,0.17762E+07
5933.400000000,0.17960E+07
5964.400000000,0.30697E+07
5994.400000000,0.39704E+07
6025.400000000,0.40817E+07
6055.400000000,0.37806E+07
6086.400000000,0.28216E+07
6117.400000000,0.23141E+07
6147.400000000,0.21603E+07
6178.400000000,0.27139E+07
6208.400000000,0.27091E+07
6239.400000000,0.27013E+07
6270.400000000,0.26961E+07
6298.400000000,0.28812E+07
6329.400000000,0.32194E+07
6359.400000000,0.39884E+07
6390.400000000,0.43242E+07
6420.400000000,0.40224E+07
6451.400000000,0.33637E+07
6482.400000000,0.31626E+07
6512.400000000,0.33418E+07
6543.400000000,0.37692E+07
6573.400000000,0.37432E+07
6604.400000000,0.37122E+07
6635.400000000,0.36860E+07
6664.400000000,0.45098E+07
6695.400000000,0.44555E+07
6725.400000000,0.41868E+07
6756.400000000,0.37152E+07
6786.400000000,0.34930E+07
6817.400000000,0.29430E+07
6848.400000000,0.27958E+07
6878.400000000,0.31881E+07
6909.400000000,0.37719E+07
6939.400000000,0.37449E+07
6970.400000000,0.37225E+07
7001.400000000,0.37068E+07
7029.400000000,0.34949E+07
7060.400000000,0.34990E+07
7090.400000000,0.35450E+07
7121.400000000,0.33628E+07
7151.400000000,0.37896E+07
7182.400000000,0.35974E+07
7213.400000000,0.30205E+07
7243.400000000,0.27182E+07
7274.400000000,0.31165E+07
7304.400000000,0.31280E+07
7335.400000000,0.31333E+07
7366.400000000,0.31388E+07
7394.400000000,0.31451E+07
7425.400000000,0.31540E+07
7455.400000000,0.33613E+07
7486.400000000,0.35345E+07
7516.400000000,0.37071E+07
7547.400000000,0.31276E+07
7578.400000000,0.24428E+07
7608.400000000,0.24913E+07
7639.400000000,0.30629E+07
7669.400000000,0.34350E+07
7700.400000000,0.36156E+07
7731.400000000,0.35924E+07
7759.400000000,0.33769E+07
7790.400000000,0.33735E+07
7820.400000000,0.35699E+07
7851.400000000,0.33503E+07
7881.400000000,0.35063E+07
7912.400000000,0.29926E+07
7943.400000000,0.23847E+07
7973.400000000,0.24521E+07
8004.400000000,0.32193E+07
8034.400000000,0.32190E+07
8065.400000000,0.32090E+07
8096.400000000,0.31995E+07
8125.400000000,0.31932E+07
8156.400000000,0.31897E+07
8186.400000000,0.33697E+07
8217.400000000,0.33259E+07
8247.400000000,0.32962E+07
8278.400000000,0.25741E+07
8309.400000000,0.22485E+07
8339.400000000,0.24363E+07
8370.400000000,0.33447E+07
8400.400000000,0.35180E+07
8431.400000000,0.34894E+07
8462.400000000,0.34668E+07
8490.400000000,0.32589E+07
8521.400000000,0.36483E+07
8551.400000000,0.46881E+07
8582.400000000,0.48061E+07
8612.400000000,0.42592E+07
8643.400000000,0.35752E+07
8674.400000000,0.28009E+07
8704.400000000,0.26633E+07
8735.400000000,0.35968E+07
8765.400000000,0.37825E+07
8796.400000000,0.37582E+07
8827.400000000,0.37411E+07
8855.400000000,0.37310E+07
8886.400000000,0.37254E+07
8916.400000000,0.43661E+07
8947.400000000,0.45257E+07
8977.400000000,0.42475E+07
9008.400000000,0.33842E+07
9039.400000000,0.24873E+07
9069.400000000,0.22037E+07
9100.400000000,0.32943E+07
9130.400000000,0.38936E+07
9161.400000000,0.38678E+07
9192.400000000,0.38491E+07
9220.400000000,0.38377E+07
9251.400000000,0.38311E+07
9281.400000000,0.42537E+07
9312.400000000,0.41926E+07
9342.400000000,0.43398E+07
9373.400000000,0.34650E+07
9404.400000000,0.27030E+07
9434.400000000,0.24067E+07
9465.400000000,0.31275E+07
9495.400000000,0.37175E+07
9526.400000000,0.37021E+07
9557.400000000,0.36938E+07
9586.400000000,0.36915E+07
9617.400000000,0.34963E+07
9647.400000000,0.36984E+07
9678.400000000,0.40710E+07
9708.400000000,0.38271E+07
9739.400000000,0.30289E+07
9770.400000000,0.22071E+07
9800.400000000,0.22571E+07
9831.400000000,0.31350E+07
9861.400000000,0.37196E+07
9892.400000000,0.36994E+07
9923.400000000,0.34908E+07
9951.400000000,0.34930E+07
9982.400000000,0.34993E+07
10012.40000000,0.36889E+07
10043.40000000,0.35301E+07
10073.40000000,0.34160E+07
10104.40000000,0.27958E+07
10135.40000000,0.19079E+07
10165.40000000,0.16948E+07
10196.40000000,0.17670E+07
10226.40000000,0.19741E+07
10257.40000000,0.20036E+07
10288.40000000,0.20297E+07
10316.40000000,0.22257E+07
10347.40000000,0.29644E+07
10377.40000000,0.36840E+07
10408.40000000,0.38292E+07
10438.40000000,0.33982E+07
10469.40000000,0.26988E+07
10500.40000000,0.22105E+07
10530.40000000,0.26223E+07
10561.40000000,0.37848E+07
10591.40000000,0.37463E+07
10622.40000000,0.37002E+07
10653.40000000,0.36595E+07
10681.40000000,0.36287E+07
10712.40000000,0.42353E+07
10742.40000000,0.50996E+07
10773.40000000,0.48229E+07
10803.40000000,0.46008E+07
10834.40000000,0.37189E+07
10865.40000000,0.31746E+07
10895.40000000,0.33953E+07
10926.40000000,0.38160E+07
10956.40000000,0.37933E+07
10987.40000000,0.37670E+07
